"Nombre"
"ALBONDIGAS DE TERNERA CON SALSA DE TOMATE Y VERDURAS "
"ALBONDIGAS DE TERNERA CON SALSA DE TOMATE Y VERDURAS Y PATATAS "
"ALBONDIGAS DE TERNERA CON TOMATE "
"ALBONDIGAS DE TERNERA EN SALSA A LA PIMIENTA CON GUISANTES "
"ALBONDIGAS DE TERNERA EN SALSA DE ALMENDRAS"
"ALBONDIGAS DE TERNERA EN SALSA DE ALMENDRAS (CLC)"
"ALIÑO DE ZANAHORIA CON SALCHICHAS "
"ALIÑO DE ZANAHORIAS"
"ALITAS DE POLLO AL HORNO CON VERDURAS "
"ALITAS DE POLLO EN SALSA BARBACOA"
"ARROZ CAMPESTRE "
"ARROZ CON AJO Y PEREJIL "
"ARROZ CON SEPIA "
"BACALAO EN SALSA DE TOMATE "
"BACALAO EN SALSA VERDE CON ZANAHORIAS"
"BROCOLI GRATINADO"
"BROCOLI Y ZANAHORIAS ALIÑADAS "
"BUÑUELOS DE BACALAO  (F)"
"CAZUELA DE BACALAO "
"CAZUELA DE BACALAO CON PATATA"
"CAZUELA DE BACALAO SIN SAL "
"CAZUELA DE BACALAO  ( TRITURADO) "
"CAZUELA DE POLLO "
"CHULETA DE CERDO AL HORNO CON ARROZ "
"COLIFLOR y CALABACIN GRATINADA (F)"
"COLIFLOR y CALABACIN GRATINADA SIN SAL (F)"
"CREMA DE CALABACIN"
"CREMA DE CALABACIN (CLC)"
"CREMA DE CALABAZA "
"CREMA DE CALABAZA (CLC)"
"CREMA DE CHAMPIÑONES , CALABACIN , Y ZANAHORIA "
"CREMA DE COLIFLOR"
"CREMA DE COLIFLOR (CLC)"
"CREMA DE PUERROS (CLC)"
"CREMA DE VERDURAS"
"CREMA DE VERDURAS  (CLC)"
"CREMA DE VERDURAS SIN SAL"
"CREMA DE ZANAHORIA "
"CREMA DE ZANAHORIA *"
"CREMA DE ZANAHORIA (CLC)"
"CREMA DE ZANAHORIA SIN SAL"
"CROQUETAS DE POLLO CON PURÉ DE PATATA (F)"
"CROQUETAS DE POLLO (F)"
"DESAYUNO BASAL (DOMINGO)"
"DESAYUNO BASAL (JUEVES)"
"DESAYUNO BASAL (LUNES)"
"DESAYUNO BASAL (MARTES)"
"DESAYUNO BASAL (MIÉRCOLES)"
"DESAYUNO BASAL (SÁBADO) "
"DESAYUNO BASAL (VIERNES)"
"DESAYUNO DIETA (DOMINGO)"
"DESAYUNO DIETA (JUEVES)"
"DESAYUNO DIETA (LUNES)"
"DESAYUNO DIETA (MARTES)"
"DESAYUNO DIETA (MIÉRCOLES)"
