PRODUCTO,UNIDADES,REFERENCIA
** UNEI LUNES ALMUERZO Fácil masticación,,
Lentejas con verduras,12,"41801029800, Lentejas secas (pardinas): 123456789, Pimiento rojo dado: 987654321, Pimiento verde dado: 1298348756, Calabacín congelado: 121234A, Zanahoria rodajas 4X2,5: Z348711, Ajo-Perejil: A45789Z, Pimentón dulce malagueño: 792533A"
Pan de molde integral,12,"26/05/2025, Pan de molde integral: 26/05/2025"
Pieza fruta triturada,12,"PB26313106, Pieza fruta triturada: PB26313106"
Tortilla de patatas con cebolla,12,"040226, Tortilla de patatas con cebolla: 040226"
